Retailer,Invoice Date,Region,State,Product,Price per Unit,Units Sold,Total Sales,Sales Method,Brand
Foot Locker,2021-11-06,Southeast,South Carolina,Men's Street Footwear,50,278,13900,Online,Adidas
Foot Locker,2020-03-14,Northeast,New York,Men's Apparel,46,278,12788,Outlet,Adidas
West Gear,2021-01-19,West,California,Men's Athletic Footwear,47,278,13066,Outlet,Adidas
Walmart,2021-06-17,Southeast,Florida,Women's Apparel,103,218,22454,Online,Adidas
Sports Direct,2021-09-14,South,Alabama,Women's Street Footwear,36,278,10008,Outlet,Adidas
West Gear,2021-07-06,West,Idaho,Women's Street Footwear,34,278,9452,Outlet,Adidas
West Gear,2021-01-12,West,California,Men's Street Footwear,56,277,15512,Online,Adidas
Foot Locker,2020-01-21,Northeast,New York,Women's Street Footwear,36,276,9936,Online,Adidas
Walmart,2020-08-17,South,Texas,Women's Apparel,37,276,10212,Online,Adidas
West Gear,2021-07-16,South,Louisiana,Women's Apparel,103,163,16789,Online,Adidas
Sports Direct,2021-08-25,South,Alabama,Men's Street Footwear,10,700,7000,Outlet,Adidas
Sports Direct,2021-03-02,Southeast,North Carolina,Men's Street Footwear,28,276,7728,Online,Adidas
Sports Direct,2021-08-23,South,Alabama,Men's Apparel,25,275,6875,Outlet,Adidas
Sports Direct,2021-08-27,South,Alabama,Women's Street Footwear,15,575,8625,Outlet,Adidas
Sports Direct,2021-08-21,South,Alabama,Women's Street Footwear,15,475,7125,Outlet,Adidas
West Gear,2021-01-11,Midwest,Missouri,Women's Street Footwear,15,475,7125,In-store,Adidas
Sports Direct,2021-11-17,South,Mississippi,Men's Athletic Footwear,20,450,9000,Online,Adidas
Sports Direct,2021-01-23,South,Mississippi,Women's Street Footwear,15,450,6750,Online,Adidas
West Gear,2021-04-03,Midwest,Wisconsin,Men's Street Footwear,20,450,9000,In-store,Adidas
Foot Locker,2020-03-10,Northeast,New York,Men's Street Footwear,44,434,19096,Outlet,Adidas
Foot Locker,2021-01-18,Midwest,Michigan,Women's Athletic Footwear,25,275,6875,In-store,Adidas
Foot Locker,2021-04-18,Midwest,Missouri,Men's Athletic Footwear,30,275,8250,In-store,Adidas
Foot Locker,2021-04-18,Midwest,Missouri,Women's Street Footwear,20,275,5500,In-store,Adidas
Foot Locker,2021-09-19,Midwest,Missouri,Women's Athletic Footwear,15,275,4125,In-store,Adidas
Foot Locker,2021-09-19,Midwest,Missouri,Men's Apparel,25,275,6875,In-store,Adidas
West Gear,2021-05-12,West,Utah,Women's Athletic Footwear,25,275,6875,In-store,Adidas
West Gear,2021-10-11,West,Utah,Women's Athletic Footwear,20,275,5500,In-store,Adidas
West Gear,2021-10-11,West,Utah,Men's Apparel,30,275,8250,In-store,Adidas
Foot Locker,2021-03-16,South,Mississippi,Women's Athletic Footwear,20,275,5500,Online,Adidas
Walmart,2021-10-21,South,Arkansas,Women's Athletic Footwear,20,275,5500,Online,Adidas
Walmart,2021-10-21,South,Arkansas,Men's Apparel,30,275,8250,Online,Adidas
West Gear,2021-02-21,South,Arkansas,Men's Athletic Footwear,25,275,6875,Online,Adidas
West Gear,2021-03-19,South,Oklahoma,Women's Street Footwear,10,275,2750,Online,Adidas
West Gear,2021-03-19,South,Oklahoma,Women's Apparel,25,275,6875,Online,Adidas
West Gear,2021-09-19,South,Oklahoma,Women's Street Footwear,15,275,4125,Online,Adidas
Foot Locker,2021-11-13,Midwest,Kansas,Men's Athletic Footwear,15,275,4125,Online,Adidas
Foot Locker,2021-01-18,Midwest,Michigan,Women's Street Footwear,20,425,8500,In-store,Adidas
West Gear,2021-02-11,Midwest,Missouri,Women's Street Footwear,15,425,6375,In-store,Adidas
Foot Locker,2021-01-12,Midwest,Kansas,Women's Street Footwear,30,275,8250,Online,Adidas
Sports Direct,2021-01-09,Midwest,South Dakota,Women's Street Footwear,25,275,6875,Online,Adidas
Sports Direct,2021-02-09,Midwest,North Dakota,Women's Apparel,25,275,6875,Online,Adidas
West Gear,2021-06-11,West,Utah,Women's Street Footwear,20,425,8500,In-store,Adidas
